1,《崩坏3》动画短片「天穹流星」,294.9万
2,"这十个软件,让你的电脑舒适度提升1400%",116.3万
3,【何同学】二十万元的电脑是什么样子的？苹果Mac Pro深度体验,340.4万
4,分享烹饪3580元一位的顶级日料中最好吃的一道菜！包教包会！,222.7万
5,病 名 为 钉 钉钉钉钉钉钉...（钉钉音效与人声完美契合电音 无限循环 疯狂洗脑）,144.0万
6,挑战三块黄油一口气吃完！除了油腻剩下的就是想呕吐了！,301.4万
7,好 兄 弟,135.4万
8,【老E】比宇宙还要古老的存在！行星一样大的安康鱼！,123.5万
9,真实叶问本人咏春木人桩演示（全站最清晰胶片版）,258.9万
10,【师 生 对 线】这网课上得就尼玛离谱！（第二集）,128.5万
11,开 幕 爆 笑 【阅片无数特别篇】,227.6万
12,《野草》：我把16篇鲁迅写成了一首歌,60.9万
13,【祖娅纳惜】 囍 【这什么灵魂唢呐！！】,72.7万
14,弓箭高手老番茄,400.4万
15,我，老坛胡说，实名diss中国BOY超级大猩猩,214.6万
16,龙吟草莓的妹妹：羊 啸 草 莓,135.5万
17,快 放 我 下 车！,76.1万
18,深层次解析日韩开卷考为何不及格，日韩的难言之隐（思密达没了）,99.2万
19,见识下什么叫TMD绿茶婊！,188.7万
20,普    通    木    门,89.5万
21,节选自《 口 技 》,60.6万
22,面对疫情日本为何消极？中国真的太NB了,174.2万
23,处 处 删 （注意！脖子以下不可描述！）,67.4万
24,【党妹】懒人在家煮火锅！再来串甜到心里的冰糖草莓~不出门也能吃到美味！,123.9万
25,猛   男   打   气   舞,96.8万
26,这宇航员我TM不当了！,130.3万
27,【郭老师】华 农 捕 郭,93.8万
28,珍 贵 录 像 : 慈善三巨头聚首斗地主,132.0万
29,撕逼剧透全滚粗！百万粉up主教你提升弹幕质量的秘诀！,95.6万
30,对不起，我真的累了，这次压力打败了我,100.3万
31,害怕！和熊同桌吃早饭，60斤食物，吃完要陪练格斗？！【北极大宝荐06】,167.2万
32,“每日一遍 防止早恋”,138.5万
33,转发给女朋友，一起选情头！,48.2万
34,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,61.6万
35,【C菌】世界上最难受的游戏，你能坚持几秒？,44.3万
36,“你没穷过，你不懂”,61.8万
37,教你骗小手！这个技能我爱了,108.6万
38,传说中要靠吸吮少女“续命”的老两口，遇到富江会怎样呢？《富江：养女》,124.2万
39,这TM才叫 拆 蛋 专 家,174.3万
40,女团腿 去头尾 自用,58.5万
41,称霸了6亿年 ，才发现自己忘了长脑子【龙女动物学07】刺胞动物门,110.4万
42,【半佛】减肥产品是如何骗你钱的？,90.5万
43,教大家破解闪照，不用看闪照就知道里面是什么。,126.1万
44,我在3平米的房间住了两年............,156.7万
45,文 艺 复 兴,105.6万
46,赌 怪（完整版）,43.7万
47,【中国网游史】《赛尔号》的悲剧与无奈，童年回忆为何总是充满争议,79.9万
48,五斤鸡胸肉可以做出多少鸡精？小伙花两天时间才做出来这么点,131.8万
49,康复专家手把手教学，「石原里美」式下颌线！（P2完整跟练）,26.7万
50,建议改成：祖 安 萝 莉,95.1万
51,日本绝学！试着做这个动作1秒你的背会发生什么变化....,66.8万
52,计算机仿真模拟疫情期间开学可能的后果,72.5万
53,《明日方舟》携手WWF联合公益活动「万类共生」宣传PV,84.0万
54,【Warma/怒九笑/捏碳】初次参加面试就直接通过的三人！ | 合作短剧 |搞笑,51.8万
55,【官方回播】Bilibili Macro Link-Visual Release 2019,43.8万
56,为吾友雪耻，为吾妹之灵魂得以安息，我要你以死偿命！,107.7万
57,“我们的存在 本身就是谋逆”【燃向双声道|权谋|帝王霸业】,43.0万
58,我反对祖安风气 你们可以骂我了,85.0万
59,关于抑郁 沉于海底,30.4万
60,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,67.4万
61,5分钟让你明白BGM的重要性~你见过配乐欺负诗朗诵吗？到底是配乐重要还是诗朗诵重要？侯乐天音乐喜剧之《钢琴不是吹的》—配乐诗朗诵,50.3万
62,【 唱 首 歌 】我 钉 起 来 真 好 听,73.4万
63,“那是我日夜思念，深深爱着的人啊”,78.0万
64,简单高效学生党瘦胳膊运动｜每天8分钟，亲测一周见效！去拜拜肉，消副乳｜无器械，无需场地，站着做瘦手臂操！,22.2万
65,惊艳！！10万粉女装！这是男的！,53.2万
66,【经典老番】我一路向北，离开有怡的季节,62.7万
67,【懂点儿啥32】韩国最大的“疫情”，就是他们的邪教,107.9万
68,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,49.1万
69,日本停课！于是钉钉火到日本！却“惨遭”日本网友。。,120.1万
70,【木鱼微剧场】他背着一具尸体，行走了大半个中国《落叶归根》真实事件改编，赵本山主演,61.0万
71,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,43.2万
72,当时我害怕极了，我....哈哈哈哈哈,71.3万
73,每天使用健身环锻炼身体，持续一周，会有什么改变吗？,77.9万
74,我被女朋友捆绑在厕所，公开处刑！,155.5万
75,传说中大腿月瘦13cm的日本瘦腿视频！去背景音 换歌来计时 自用,14.7万
76,这 TM 才叫 无 缝 衔 接 ！！！,38.4万
77,父 离 子 散,74.6万
78,当 前 老 师 网 课 现 状,30.5万
79,【洛天依原创】阿弥陀佛头摇摇【PV付】,20.1万
80,主人忘锁零食柜，猫：机会来了......,83.9万
81,腾讯加持B站股权，B站又双叒叕变味了？【膨胀说】,74.4万
82,【人狗共演】猜 猜 我 是 谁,86.7万
83,完整了解《异形》电影宇宙！真正破解异形原理（推理向）,35.3万
84,肉包子好吃有技巧，调肉馅放调料顺序是关键，个个松软不塌陷,31.1万
85,人类身上到底有多少洞？,103.9万
86,相亲对象居然是我的粉丝！场面一度尴尬！,147.1万
87,【处处吻】 愣着干嘛 进来白嫖啊,44.6万
88,在抖音买的水果真的有视频里那么好吗,208.1万
89,您TM是女娲投胎？,101.4万
90,服了日本，在东京告诉你为啥日本的确诊人数涨的慢。日本佛系抗疫下的日常惊悚加无奈加震惊vlog,169.9万
91,【三神定喘】治一个死一百个，三个疗程彻底断气，让你体验升天的感觉,41.5万
92,暗访纽约医院，如果新冠病毒在美国爆发，大家准备好了吗？,123.4万
93,标 准 结 局 ！,95.4万
94,【醋醋】这就是二次元广场舞吗，真香！彩虹节拍【bdf2020】,85.3万
95,【处处吻】物理版 进来挑战一下,41.5万
96,那些说话喜欢夹英文的中国人,92.3万
97,父母反对我做up主！该怎么说服他们？【读评论01】,63.7万
98,华农兄弟：扔了4个地笼到水潭里，第二天带个桶，高兴的去收鱼,148.8万
99,迦 勒 底 异 闻 录,38.6万
100,我终于知道你的狗为什么会丢了,89.4万
1,《崩坏3》动画短片「天穹流星」,294.9万
2,"这十个软件,让你的电脑舒适度提升1400%",116.3万
3,【何同学】二十万元的电脑是什么样子的？苹果Mac Pro深度体验,340.4万
4,分享烹饪3580元一位的顶级日料中最好吃的一道菜！包教包会！,222.7万
5,病 名 为 钉 钉钉钉钉钉钉...（钉钉音效与人声完美契合电音 无限循环 疯狂洗脑）,144.0万
6,挑战三块黄油一口气吃完！除了油腻剩下的就是想呕吐了！,301.4万
7,好 兄 弟,135.4万
8,【老E】比宇宙还要古老的存在！行星一样大的安康鱼！,123.5万
9,真实叶问本人咏春木人桩演示（全站最清晰胶片版）,258.9万
10,【师 生 对 线】这网课上得就尼玛离谱！（第二集）,128.5万
11,开 幕 爆 笑 【阅片无数特别篇】,227.6万
12,《野草》：我把16篇鲁迅写成了一首歌,60.9万
13,【祖娅纳惜】 囍 【这什么灵魂唢呐！！】,72.7万
14,弓箭高手老番茄,400.4万
15,我，老坛胡说，实名diss中国BOY超级大猩猩,214.6万
16,龙吟草莓的妹妹：羊 啸 草 莓,135.5万
17,快 放 我 下 车！,76.1万
18,深层次解析日韩开卷考为何不及格，日韩的难言之隐（思密达没了）,99.2万
19,见识下什么叫TMD绿茶婊！,188.7万
20,普    通    木    门,89.5万
21,节选自《 口 技 》,60.6万
22,面对疫情日本为何消极？中国真的太NB了,174.2万
23,处 处 删 （注意！脖子以下不可描述！）,67.4万
24,【党妹】懒人在家煮火锅！再来串甜到心里的冰糖草莓~不出门也能吃到美味！,123.9万
25,猛   男   打   气   舞,96.8万
26,这宇航员我TM不当了！,130.3万
27,【郭老师】华 农 捕 郭,93.8万
28,珍 贵 录 像 : 慈善三巨头聚首斗地主,132.0万
29,撕逼剧透全滚粗！百万粉up主教你提升弹幕质量的秘诀！,95.6万
30,对不起，我真的累了，这次压力打败了我,100.3万
31,害怕！和熊同桌吃早饭，60斤食物，吃完要陪练格斗？！【北极大宝荐06】,167.2万
32,“每日一遍 防止早恋”,138.5万
33,转发给女朋友，一起选情头！,48.2万
34,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,61.6万
35,【C菌】世界上最难受的游戏，你能坚持几秒？,44.3万
36,“你没穷过，你不懂”,61.8万
37,教你骗小手！这个技能我爱了,108.6万
38,传说中要靠吸吮少女“续命”的老两口，遇到富江会怎样呢？《富江：养女》,124.2万
39,这TM才叫 拆 蛋 专 家,174.3万
40,女团腿 去头尾 自用,58.5万
41,称霸了6亿年 ，才发现自己忘了长脑子【龙女动物学07】刺胞动物门,110.4万
42,【半佛】减肥产品是如何骗你钱的？,90.5万
43,教大家破解闪照，不用看闪照就知道里面是什么。,126.1万
44,我在3平米的房间住了两年............,156.7万
45,文 艺 复 兴,105.6万
46,赌 怪（完整版）,43.7万
47,【中国网游史】《赛尔号》的悲剧与无奈，童年回忆为何总是充满争议,79.9万
48,五斤鸡胸肉可以做出多少鸡精？小伙花两天时间才做出来这么点,131.8万
49,康复专家手把手教学，「石原里美」式下颌线！（P2完整跟练）,26.7万
50,建议改成：祖 安 萝 莉,95.1万
51,日本绝学！试着做这个动作1秒你的背会发生什么变化....,66.8万
52,计算机仿真模拟疫情期间开学可能的后果,72.5万
53,《明日方舟》携手WWF联合公益活动「万类共生」宣传PV,84.0万
54,【Warma/怒九笑/捏碳】初次参加面试就直接通过的三人！ | 合作短剧 |搞笑,51.8万
55,【官方回播】Bilibili Macro Link-Visual Release 2019,43.8万
56,为吾友雪耻，为吾妹之灵魂得以安息，我要你以死偿命！,107.7万
57,“我们的存在 本身就是谋逆”【燃向双声道|权谋|帝王霸业】,43.0万
58,我反对祖安风气 你们可以骂我了,85.0万
59,关于抑郁 沉于海底,30.4万
60,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,67.4万
61,5分钟让你明白BGM的重要性~你见过配乐欺负诗朗诵吗？到底是配乐重要还是诗朗诵重要？侯乐天音乐喜剧之《钢琴不是吹的》—配乐诗朗诵,50.3万
62,【 唱 首 歌 】我 钉 起 来 真 好 听,73.4万
63,“那是我日夜思念，深深爱着的人啊”,78.0万
64,简单高效学生党瘦胳膊运动｜每天8分钟，亲测一周见效！去拜拜肉，消副乳｜无器械，无需场地，站着做瘦手臂操！,22.2万
65,惊艳！！10万粉女装！这是男的！,53.2万
66,【经典老番】我一路向北，离开有怡的季节,62.7万
67,【懂点儿啥32】韩国最大的“疫情”，就是他们的邪教,107.9万
68,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,49.1万
69,日本停课！于是钉钉火到日本！却“惨遭”日本网友。。,120.1万
70,【木鱼微剧场】他背着一具尸体，行走了大半个中国《落叶归根》真实事件改编，赵本山主演,61.0万
71,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,43.2万
72,当时我害怕极了，我....哈哈哈哈哈,71.3万
73,每天使用健身环锻炼身体，持续一周，会有什么改变吗？,77.9万
74,我被女朋友捆绑在厕所，公开处刑！,155.5万
75,传说中大腿月瘦13cm的日本瘦腿视频！去背景音 换歌来计时 自用,14.7万
76,这 TM 才叫 无 缝 衔 接 ！！！,38.4万
77,父 离 子 散,74.6万
78,当 前 老 师 网 课 现 状,30.5万
79,【洛天依原创】阿弥陀佛头摇摇【PV付】,20.1万
80,主人忘锁零食柜，猫：机会来了......,83.9万
81,腾讯加持B站股权，B站又双叒叕变味了？【膨胀说】,74.4万
82,【人狗共演】猜 猜 我 是 谁,86.7万
83,完整了解《异形》电影宇宙！真正破解异形原理（推理向）,35.3万
84,肉包子好吃有技巧，调肉馅放调料顺序是关键，个个松软不塌陷,31.1万
85,人类身上到底有多少洞？,103.9万
86,相亲对象居然是我的粉丝！场面一度尴尬！,147.1万
87,【处处吻】 愣着干嘛 进来白嫖啊,44.6万
88,在抖音买的水果真的有视频里那么好吗,208.1万
89,您TM是女娲投胎？,101.4万
