第一章 蟒雀吞龙
第二章 源纹
第三章 苏幼微
第四章 源纹的力量
第五章 齐岳，柳溪
第六章 祖地宗祠
第七章 神秘之地
第八章 寻八脉
第九章 八脉现
第十章 得授机缘
第十一章 齐王的胃口
第十二章 源食
第十三章 冲脉
第十四章 神魂
第十五章 混沌神磨观想法
第十六章 挖墙角
第十七章 林枫
第十八章 文武
第十九章 开脉
第二十章 源术
第二十一章 龙步，龙碑手
第二十二章 大考来临
第二十三章 初露峥嵘
第二十四章 显威
第二十五章 战林枫
第二十六章 崛起之势
第二十七章 府试落幕
第二十八章 入甲院
第二十九章 玉灵瀑
第三十章 开三脉
第三十一章 立威
第三十二章 冰火聚源纹
第三十三章 两女相见
第三十四章 谋灵瀑
第三十五章 玉灵瀑之斗
第三十六章 阴招
第三十七章 双双突破
第三十八章 黑林山脉
第三十九章 遇敌
第四十章 只剩这个了
第四十一章 玄芒术
第四十二章 三十六兽开脉纹
第四十三章 修炼玄芒术
第四十四章 苏幼微的进步
第四十五章 府试之前
第四十六章 府试开始
第四十七章 异样
第四十八章 下一个
第四十九章 战柳溪
第五十章 惊艳全场
第五十一章 周元战齐岳
第五十二章 真正的实力
第五十三章 我也会
第五十四章 得胜
第五十五章 卫沧澜
第五十六章 武煌
第五十七章 祖龙经
第五十八章 源材
第五十九章 虚境中期
第六十章 启程
第六十一章 阴阳气府
第六十二章 沧澜郡，卫青青
第六十三章 一招立威
第六十四章 赢大师
第六十五章 驱毒
第六十六章 揭穿
第六十七章 千蚁蚀毒纹
第六十八章 准备
第六十九章 显手段
第七十章 到手
第七十一章 拉拢
第七十二章 黑毒王
第七十三章 进入黑渊
第七十四章 黑色玉牌
第七十五章 第八脉
第七十六章 开辟气府
第七十七章 玉婴果
第七十八章 登岛之法
第七十九章 恐惧
第八十章 得宝
第八十一章 谷中大战
第八十二章 吞吞显威
第八十三章 争夺
第八十四章 霸道的怨龙毒
第八十五章 战齐昊
第八十六章 侵蚀
第八十七章 斩杀
第八十八章 火灵穗到手
第八十九章 降服
第九十章 遗宝
第九十一章 地宫
第九十二章 宝贝
第九十三章 银影
第九十四章 齐王叛乱
第九十五章 争议
第九十六章 五位
第九十七章 战书
第九十八章 通天玄蟒气
第九十九章 齐王围城
第一百章 七太初
第一百零一章 大战来临
第一百零二章 围城之战
第一百零四章 银影的力量
第一百零五章 那一剑的风情
第一百零六章 周元斩太初
第一百零七章 大势已去
第一百零八章 武王圣旨
第一百零九章 打破阴影
第一百一十章 大战落幕
第一百一十一章 灰袍老人
第一百一十二章 苏幼微的缘法
第一百一十三章 一份造化
第一百一十四章 圣迹之地
第一百一十五章 紫衣少女
第一百一十六章 风云汇聚
第一百一十七章 玄蟒鳞
第一百一十八章 古境
第一百一十九章 绿发少女
第一百二十章 古翎
第一百二十一章 兽心通明者
第一百二十二章 炼魂塔？
第一百二十三章 杂鱼
第一百二十四章 破天
第一百二十五章 黑色水晶球
第一百二十六章 全身而退
第一百二十七章 分宝
第一百二十八章 灰袍青年
第一百二十九章 圣迹城
第一百三十章 骄子楼
第一百三十一章 天罗戟
第一百三十二章 东西到手
第一百三十三章 小天源术
第一百三十四章 古灵
第一百三十五章 左丘青鱼
第一百三十六章 初见武煌
第一百三十七章 虚境后期
第一百三十八章 赤脚大叔
第一百三十九章 出手
第一百四十章 圣迹之地
第一百一十五章 紫衣少女
第一百一十六章 风云汇聚
第一百一十七章 玄蟒鳞
第一百一十八章 古境
第一百一十九章 绿发少女
第一百二十章 古翎
第一百二十一章 兽心通明者
第一百二十二章 炼魂塔？
第一百二十三章 杂鱼
第一百二十四章 破天
第一百二十五章 黑色水晶球
第一百二十六章 全身而退
第一百二十七章 分宝
第一百二十八章 灰袍青年
第一百二十九章 圣迹城
第一百三十章 骄子楼
第一百三十一章 天罗戟
第一百三十二章 东西到手
第一百三十三章 小天源术
第一百三十四章 古灵
第一百三十五章 左丘青鱼
