推荐学校,姓名,岗位名称,现任职单位
北京大学,陈鹏,有机化学,北京大学
北京大学,高宁,生物化学与分子生物学,北京大学
北京大学,邱泽奇,社会学,北京大学
北京大学,吴小红,专门考古,北京大学
北京大学,章志飞,基础数学,北京大学
北京大学,周永胜,口腔临床医学,北京大学
北京航空航天大学,范英,管理科学与工程,北京航空航天大学
北京航空航天大学,魏新国,精密仪器及机械,北京航空航天大学
北京航空航天大学,严亮,机械电子工程,北京航空航天大学
北京化工大学,田明,材料加工工程,北京化工大学
北京理工大学,王兆华,技术经济及管理学,北京理工大学
北京师范大学,过常宝,中国古代文学,北京师范大学
北京师范大学,王开存,大气物理学与大气环境,北京师范大学
北京师范大学,王向远,比较文学与世界文学,北京师范大学
北京协和医学院,许琪,病理学与病理生理学,北京协和医学院
重庆大学,胡少伟,结构工程,南京水利科学研究院
重庆大学,蒋斌,有色金属冶金,重庆大学
大连理工大学,王永青,机械制造及其自动化,大连理工大学
大连理工大学,张弛,水文学及水资源,大连理工大学
大连理工大学,赵纪军,凝聚态物理,大连理工大学
大连医科大学,夏云龙,内科学（心血管病）,大连医科大学
陆军军医大学（第三军医大学）,王延江,神经病学,陆军军医大学（第三军医大学）
陆军军医大学（第三军医大学）,张曦,内科学（血液病）,陆军军医大学（第三军医大学）
空军军医大学（第四军医大学）,董海龙,麻醉学,空军军医大学（第四军医大学）
电子科技大学,陈旭,企业管理学,电子科技大学
电子科技大学,朱策,信息获取与探测,电子科技大学
东北林业大学,谢延军,木材科学与技术,东北林业大学
东北师范大学,梁茂信,地区国别史·美国史,东北师范大学
东北师范大学,于伟,教育学原理,东北师范大学
东北师范大学,张前,有机化学,东北师范大学
东南大学,徐赵东,结构工程,东南大学
福州大学,陶丰,物理化学,美国堪萨斯大学
复旦大学,陈引驰,中国古代文学,复旦大学
复旦大学,邓安庆,伦理学,复旦大学
复旦大学,敬乂嘉,行政管理学,复旦大学
复旦大学,赵晨,眼科学,复旦大学
复旦大学,赵俊,凝聚态物理,复旦大学
广东工业大学,安太成,环境科学,广东工业大学
贵州师范大学,易闻晓,中国古代文学,贵州师范大学
哈尔滨工程大学,孙大军,水声工程,哈尔滨工程大学
哈尔滨工业大学,刘钢,材料加工工程,哈尔滨工业大学
哈尔滨工业大学,刘丽,化学工程,哈尔滨工业大学
哈尔滨工业大学,吴立刚,控制理论与控制工程,哈尔滨工业大学
哈尔滨医科大学,吴群红,社会医学与卫生事业管理学,哈尔滨医科大学
海军工程大学,王东,电力系统及其自动化,海军工程大学
合肥工业大学,刘心报,管理科学与工程,合肥工业大学
湖南大学,李肯立,计算机软件与理论,湖南大学
华东理工大学,李剑,药物化学,华东理工大学
华东师范大学,范国睿,教育学原理,华东师范大学
华东师范大学,文军,社会学,华东师范大学
华南理工大学,林璋,环境科学,华南理工大学
华南理工大学,王海辉,化学工程,华南理工大学
华南师范大学,王穗苹,发展与教育心理学,华南师范大学
华南师范大学,阳成伟,植物学,华南师范大学
华中科技大学,程翔,内科学（心血管病）,华中科技大学
华中科技大学,汪辉,妇产科学,华中科技大学
华中科技大学,王琳,人体解剖与组织胚胎学,华中科技大学
华中科技大学,张新亮,光学与光电子学,华中科技大学
华中师范大学,张铁锐,材料物理与化学,中国科学院理化技术研究所
吉林大学,房绍坤,民商法学(含劳动法学、社会保障法学),烟台大学
吉林大学,孙晓颖,通信与信息系统,吉林大学
吉林大学,王慧远,材料加工工程,吉林大学
吉林农业大学,孙文献,植物病理学,中国农业大学
暨南大学,丁克,药物化学,暨南大学
江南大学,刘立明,生物化工,江南大学
江南大学,刘元法,食品科学,江南大学
江苏大学,由天艳,农业电气化与自动化,江苏大学
昆明理工大学,吴顺川,采矿工程,北京科技大学
兰州大学,侯岁稳,植物学,兰州大学
兰州大学,王记增,工程力学,兰州大学
兰州大学,张清明,凝聚态物理,中国人民大学
辽宁大学,刘剑文,经济法学,北京大学
南方科技大学,刘青松,海洋地质,南方科技大学
南京大学,张凤阳,政治学理论,南京大学
南京大学,朱庆华,情报学,南京大学
南京航空航天大学,李迎光,航空宇航制造工程,南京航空航天大学
南京理工大学,李强,工程热物理,南京理工大学
南京农业大学,张正光,植物病理学,南京农业大学
南京师范大学,戴志晖,分析化学,南京师范大学
南京师范大学,冯建军,教育学原理,南京师范大学
南开大学,方勇纯,控制理论与控制工程,南开大学
南开大学,梁琪,金融学,南开大学
宁夏大学,于广锁,化学工艺,华东理工大学
清华大学,刘会娟,环境工程,清华大学
清华大学,柳强,激光技术,清华大学
清华大学,陆毅,国际贸易学,清华大学
清华大学,潘鹏,结构工程,清华大学
清华大学,王建强,车辆工程,清华大学
清华大学,张强,大气物理学与大气环境,清华大学
清华大学,周树云,凝聚态物理,清华大学
山东大学,程相占,文艺学,山东大学
山东大学,方辉,考古学,山东大学
山东大学,高成江,免疫学,山东大学
山东大学,李娟,概率论与数理统计,山东大学
山东大学,刘森林,马克思主义哲学,山东大学
上海财经大学,周亚虹,数量经济学,上海财经大学
上海大学,钟云波,钢铁冶金,上海大学
上海交通大学,段胜仲,病理学与病理生理学,上海交通大学
上海交通大学,耿涌,人口、资源与环境经济学,上海交通大学
上海交通大学,管海兵,计算机系统结构,上海交通大学
上海中医药大学,贾立军,中西医结合基础医学,上海中医药大学
四川大学,金惠敏,文艺学,中国社会科学院文学研究所
四川大学,张弘（普慧）,中国古代文学,四川大学
苏州大学,刘庄,材料学,苏州大学
苏州大学,王卫平,专门史,苏州大学
天津大学,何桢,质量管理,天津大学
天津大学,贾宏杰,电力系统及其自动化,天津大学
天津师范大学,白学军,发展与教育心理学,天津师范大学
同济大学,黄雨,地质工程,同济大学
武汉大学,冯果,经济法学,武汉大学
武汉大学,张永军,摄影测量与遥感,武汉大学
西安建筑科技大学,王怡,供热、供燃气、通风及空调工程,西安建筑科技大学
西安交通大学,杨旭,电力电子与电力传动,西安交通大学
西北工业大学,詹梅,机械制造及其自动化,西北工业大学
西华大学,李秋实,流体机械及工程,西华大学
西南财经大学,王擎,金融学（含保险学）,西南财经大学
西南大学,何宗美,中国古代文学,西南大学
西南交通大学,何正友,电力系统及其自动化,西南交通大学
西南交通大学,李永乐,防灾减灾工程及防护工程,西南交通大学
厦门大学,周大旺,细胞生物学,厦门大学
燕山大学,华长春,控制理论与控制工程,燕山大学
云南财经大学,陈昆亭,世界经济,浙江工业大学
浙江财经大学,李永友,财政学（含税收学）,浙江财经大学
浙江大学,陈刚,计算机软件与理论,浙江大学
浙江大学,黄飞鹤,有机化学,浙江大学
浙江大学,刘同舫,马克思主义基本原理,浙江大学
浙江大学,王靖岱,化学工程,浙江大学
浙江师范大学,高玉,中国现当代文学,浙江师范大学
中国传媒大学,隋岩,传播学,中国传媒大学
中国科学技术大学,黄伟新,物理化学,中国科学技术大学
中国科学技术大学,李厚强,信号与信息处理,中国科学技术大学
中国科学院大学,吕金虎,电路与系统,中国科学院大学
中国科学院大学,田野,基础数学,中国科学院大学
中国科学院大学,王立平,病理学与病理生理学,中国科学院大学
中国科学院大学,王艳丽,生物化学与分子生物学,中国科学院大学
中国科学院大学,朱冰,细胞生物学,中国科学院大学
中国矿业大学,胡振琪,土地资源管理学,中国矿业大学（北京）
中国农业大学,杜太生,农业水土工程,中国农业大学
中国人民大学,孛尔只斤  乌云毕力格,专门史,中国人民大学
中国人民大学,曹峰,中国哲学,中国人民大学
中国人民大学,高圣平,民商法学(含劳动法学、社会保障法学),中国人民大学
中国人民大学,杨保军,新闻学,中国人民大学
中国人民大学,杨凤城,中共党史(含党的学说与党的建设),中国人民大学
中国人民大学,张文喜,马克思主义哲学,中国人民大学
中南大学,蒋丽忠,结构工程,中南大学
中南大学,孙伟,矿物加工工程,中南大学
中山大学,刘会赟,微电子学与固体电子学,伦敦大学学院
中山大学,肖滨,中外政治制度,中山大学
推荐学校,姓名,岗位名称,现任职单位
长安大学,Xiaozhi Hu,机械设计与理论,澳大利亚西澳大学
重庆大学,Brian Uy,结构工程,澳大利亚悉尼大学
重庆大学,赵彦利,生物医学工程,新加坡南洋理工大学
大连理工大学,Susannah L. Scott,化学工艺,美国加州大学圣塔芭芭拉分校
大连理工大学,陈建清,信息管理,美国德克萨斯大学达拉斯分校
陆军军医大学（第三军医大学）,陈儒育,人体解剖与组织胚胎学,美国加州大学旧金山分校
空军军医大学（第四军医大学）,郑智明,口腔临床医学,美国奥古斯塔大学
电子科技大学,Cui Shuguang,通信与信息系统,美国加州大学戴维斯分校
东北财经大学,Subodha Kumar,信息与运营管理,美国天普大学
东北财经大学,朝镛,产业经济学,美国路易斯维尔大学
东北大学,TAN KAY CHEN,控制理论与控制工程,香港城市大学
东北师范大学,Zicheng Yu,自然地理学,美国理海大学
哈尔滨工业大学,欧阳彦峰,交通运输规划与管理,美国伊利诺依大学香槟分校
哈尔滨医科大学,LI MIN,外科学（普外）,美国俄克拉荷马大学
湖南大学,陈新,管理科学与工程,美国伊利诺依大学香槟分校
湖南大学,段镶锋,物理化学,美国加州大学洛杉矶分校
华中科技大学,何海波,电力系统及其自动化,美国罗德岛大学
吉林大学,Junmin Wang,车辆工程,美国俄亥俄州立大学
吉林大学,史晓东,有机化学,美国南佛罗里达大学
吉林大学,王旭东,凝聚态物理,美国威斯康星大学麦迪逊分校
内蒙古大学,刘新胜,政治学理论,美国德州农工大学
陕西师范大学,John Storey,文艺学,英国桑德兰大学
武汉理工大学,黄嘉兴,材料学,美国西北大学
西安电子科技大学,Hossam Haick,材料物理与化学,以色列理工学院
西安电子科技大学,Nei Kato,网络空间安全,日本东北大学
西安交通大学,Henry Curran,动力机械及工程,爱尔兰国立高威大学
西安交通大学,Iftekhar Hasan,金融学（含保险学）,美国福特汉姆大学
西安交通大学,李成龙,药物化学,美国佛罗里达大学
西安交通大学,齐航,固体力学,美国佐治亚理工学院
西安交通大学,谢亚宏,微电子学与固体电子学,美国加州大学洛杉矶分校
西安交通大学,郑海梅,材料学,美国劳伦斯伯克利国家实验室
西安理工大学,蔡喜明,水文学及水资源,美国伊利诺依大学香槟分校
西安理工大学,张友民,控制理论与控制工程,美国康考迪亚大学
西北大学,Lothar von Falkenhausen,中国考古,美国加州大学洛杉矶分校
西北大学,张同伟,地球化学,美国德州大学奥斯汀分校
西北工业大学,冯新亮,材料物理与化学,德国德累斯顿工业大学
西北工业大学,刘小钢,无机化学,新加坡国立大学
西北工业大学,沈春华,计算机软件与理论,澳大利亚阿德莱德大学
西北农林科技大学,李长缨,农业电气化与自动化,美国佐治亚大学
西南财经大学,Dogan Gursoy,旅游管理学,美国华盛顿州立大学
西南财经大学,Jose Carrillo,应用数学,英国帝国理工学院
西南大学,Thomas Ågotnes,逻辑学,挪威卑尔根大学
西南大学,蔡金法,数学教育,美国特拉华大学
西南石油大学,程玉峰,油气储运工程,加拿大卡尔加里大学
湘潭大学,聂家旺,计算数学,美国加州大学圣地亚哥分校
云南大学,张春明,概率论与数理统计,美国威斯康星大学麦迪逊分校
中国科学技术大学,张付强,管理科学与工程,美国圣路易斯华盛顿大学
中南财经政法大学,Randall Morck,金融学（含保险学）,加拿大阿尔伯塔大学
中南大学,李涛,计算机系统结构,美国佛罗里达大学
中南大学,晏日强,神经生物学,美国凯斯西储大学
中南林业科技大学,Yakov Kuzyakov,森林生态学,德国哥廷根大学
推荐学校,姓名,岗位名称,现任职单位
安徽大学,刘琳,植物学,安徽大学
北京大学,蔡一茂,微电子学与固体电子学,北京大学
北京大学,陈建立,文化遗产,北京大学
北京大学,姜长涛,病理学与病理生理学,北京大学
北京大学,金红芳,儿科学,北京大学
北京大学,李新征,凝聚态物理,北京大学
北京大学,李忠奎,力学系统与控制,北京大学
北京大学,刘譞哲,计算机软件与理论,北京大学
北京大学,陆克定,大气物理学与大气环境,北京大学
北京大学,宋洁,管理科学与工程,北京大学
北京大学,万祎,环境科学,北京大学
北京大学,王昊,流体力学,北京大学
北京大学,王嵬,基础数学,北京大学
北京大学,魏坤琳,基础心理学,北京大学
北京大学,虞吉海,数量经济学,北京大学
北京大学,詹卫东,汉语言文字学,北京大学
北京工业大学,范立峰,岩土工程,北京工业大学
北京航空航天大学,陈玉丽,固体力学,北京航空航天大学
北京航空航天大学,耿立升,粒子物理与原子核物理,北京航空航天大学
北京航空航天大学,刘文龙,空间物理学,北京航空航天大学
北京航空航天大学,田大新,交通信息工程及控制,北京航空航天大学
北京科技大学,贺威,控制理论与控制工程,北京科技大学
北京科技大学,侯新梅,冶金物理化学,北京科技大学
北京科技大学,覃京燕,艺术设计学,北京科技大学
北京理工大学,黄玲玲,微小光学系统/衍射光学,北京理工大学
北京林业大学,彭锋,林产化学加工工程,北京林业大学
北京师范大学,何林,凝聚态物理,北京师范大学
北京师范大学,罗良,课程与教学论,北京师范大学
北京师范大学,薛二勇,比较教育学,北京师范大学
北京协和医学院,余佳,生理学,北京协和医学院
北京中医药大学,陈建新,中西医结合基础医学,北京中医药大学
长安大学,李培月,地下水科学与工程,长安大学
长沙理工大学,王磊,桥梁与隧道工程,长沙理工大学
成都中医药大学,曾芳,针灸推拿学,成都中医药大学
重庆大学,丁选明,岩土工程,重庆大学
大连理工大学,邓德会,工业催化,中国科学院大连化学物理研究所
大连理工大学,刘巍,机械电子工程,大连理工大学
大连理工大学,王贤文,情报学,大连理工大学
大连理工大学,于畅,化学工艺,大连理工大学
大连理工大学,赵佳飞,工程热物理,大连理工大学
海军军医大学（第二军医大学）,侯晋,免疫学,海军军医大学（第二军医大学）
海军军医大学（第二军医大学）,周建,外科学（普外）,海军军医大学（第二军医大学）
陆军军医大学（第三军医大学）,张建祥,药剂学,陆军军医大学（第三军医大学）
空军军医大学（第四军医大学）,牛丽娜,口腔临床医学,空军军医大学（第四军医大学）
空军军医大学（第四军医大学）,夏丽敏,肿瘤学,空军军医大学（第四军医大学）
电子科技大学,胡苏,通信与信息系统,电子科技大学
东北大学,沈岩柏,矿物加工工程,东北大学
东南大学,丁幼亮,防灾减灾工程及防护工程,东南大学
东南大学,董帅,凝聚态物理,东南大学
东南大学,花为,电机与电器,东南大学
东南大学,倪振华,物理电子学,东南大学
东南大学,游雨蒙,无机化学,东南大学
对外经济贸易大学,陈德球,会计学,对外经济贸易大学
对外经济贸易大学,黄薇,金融学（含保险学）,对外经济贸易大学
福建师范大学,黄欣沂,密码学,福建师范大学
复旦大学,方军雄,会计学,复旦大学
复旦大学,方晓生,材料学,复旦大学
复旦大学,胡安宁,社会学,复旦大学
复旦大学,姜育刚,计算机应用技术,复旦大学
复旦大学,李建华,病原生物学,复旦大学
复旦大学,李志远,国际贸易学,复旦大学
复旦大学,王鹏,中西医结合临床医学,复旦大学
复旦大学,杨珉,移动系统安全,复旦大学
复旦大学,叶丹,肿瘤学,复旦大学
复旦大学,张童,凝聚态物理,复旦大学
复旦大学,郑耿锋,无机化学,复旦大学
复旦大学,朱春阳,新闻学,复旦大学
广州大学,李进,网络空间安全,广州大学
贵州大学,郝格非,农药学,华中师范大学
国防科技大学,罗亚中,一般力学与力学基础,国防科技大学
国防科技大学,吕欣,管理科学与工程,国防科技大学
哈尔滨工程大学,殷敬伟,水声工程,哈尔滨工程大学
哈尔滨工程大学,赵玉新,导航、制导与控制,哈尔滨工程大学
哈尔滨工业大学,鲍跃全,防灾减灾工程及防护工程,哈尔滨工业大学
哈尔滨工业大学,李隆球,机械设计与理论,哈尔滨工业大学
