元尊贴吧标题
"('533', '第一千一百五十九章 无垢圣琉璃之躯')"
"('651', '第一千一百五十八章 白小鹿')"
"('601', '第一千一百五十七章 不接受')"
"('26', '土豆真就瞎写呗？这货40亿？吃屎的呢都出来吧')"
"('44', '《氵客谈元尊》第18话')"
"('53', '为什么他们会用这种眼神看周元')"
"('43', '接下来是没什么奖竞猜结果，白鹭是40亿，那些说39的该干啥干')"
"('78', '第一千九百零八章 夭夭的苏醒')"
"('1', '专家说了什么。')"
"('182', '没穿丝袜，肯定难闻')"
"('103', '我先去笑一会')"
"('337', '我觉得我完全可以')"
"('314', '怎样评价这个人？')"
"('5', '我很好奇最后9根大柱子的分配问题')"
"('1', '“嘿嘿！居然让一个刚突破天阳后期的小子，当总指挥，看来你们混')"
"('719', '有谁的动图比座的很强')"
"('1', '惊爆，土豆开车证据已被找到')"
"('289', '我女朋友身子骨够软吧！这瑜伽练的扛扛的')"
"('4', '白小鹿＝嫦娥无垢圣琉璃之躯＝蓝神魂＝真伤∑(￣□￣;)')"
"('2', '这哥们竟然睡着了？')"
"('27', '没什么可说的，就来谈谈武瑶结局吧')"
"('4', '惊爆，混元天新任总队长竟当众调戏乾坤天童颜美女，这到底是人性')"
"('143', '老丈人真好一个月赶紧过去吧。')"
"('5', '预测今晚整合乾坤天和五行天，必水。明天圣族四天到来也得水')"
"('7', '等等，白小鹿就这么被周挂打趴下了？土豆给周挂的修炼之路一路绿')"
"('18', '天地混沌，神王唐三被时空乱流卷到了天源界混元天，天渊域，只见')"
"('1', '猜猜，离开苍玄宗的时候，冰火煅龙台开四级')"
"('72', '除了元尊，大家还看什么小说啊  书谎')"
"('432', '如果周元，唐三，牧尘，萧炎，唐舞麟，霍雨浩，打架谁会赢')"
"('1', '150万的神府境中期。恐怖如斯')"
"('237', '这唐门英雄传竟恐怖如斯，一个唐三就杀了遮天三人组，土豆三人组')"
"('11', '圣莲逆转术算不算元尊里的最强招数？为何只是小圣术？简直不讲理')"
"('17', '土豆这跟当年斗破里的有什么区别在迦南学院里当初萧炎当着内院一')"
"('1', '周元太不懂得怜香惜玉了。我从小被女生欺负，一直忍让，到现在依')"
"('5', '元尊真正的主角')"
"('19', '这下九大天域集齐了吧，该来个完整的9大天域的排名')"
"('4', '有一说一，苏幼微的设定不是源气极高，怎么后来三个人都是一个水')"
"('123', '土豆以前写周元在混元天的打斗都喜欢写一句:“短短数息间，两人')"
"('382', '面对周元欺负小萝莉  众人的反应:  苏幼微:为什么殿下没有')"
"('63', '我再也不敢乱删帖了 一次吞20经验')"
"('9', '有一段时间我的心情低落，想听的话就来吧，想喷的话就喷吧。')"
"('1', '突然记起来周元出来苍玄天，在小玄州帮伊家争市长')"
"('58', '道友快来，突破8000大关我的意思你们都懂吧？')"
"('1', '下次一定')"
"('29', '服了，土豆本来说，天源界圣族独占四天足可见其强大，我寻思着下')"
"('6', '周挂女粉：白，苏，武，秦，冬，吕，伊，叶，顾，九，夭，牧……')"
"('11', '我赌五毛，周元闯完古源天副本，回去跟大师兄交差，大师兄很高兴')"
"('29', '这......唉，可惜了。')"
"('36', '一拳轰在胸前从身上爬起来。。。。。白小鹿是个女的吧。。。。。')"
"('3', '周元欺负小女生，不要不要的。')"
元尊贴吧标题
"('54', '希望周元只娶夭夭一个，也希望夭夭能有那种决心，如果周元敢娶其')"
"('0', '就这条件，还好意思给我要彩礼？')"
"('18', '今天太阳打西边出来了，土豆竟然没有再分章，直接一章结束战斗，')"
"('91', '萌新请教单吧会员和贴吧会员在这一个吧里效果差不多嘛（主要是经')"
"('4', '圣族四天这圣祖天与其他几天差距也太大了吧 我怀疑这圣祖天才是')"
"('14', '这玩意是从谁开始的，魔鬼啊')"
"('34', '战斗力崩坏了，这是很多小说的毛病，元尊图一乐，终极斗罗真的已')"
"('1', '土豆故意让周元与白小鹿打斗许久不相上下，故意隐藏实力，强行让')"
"('56', '诸位大佬，为啥苍渊可以看出周元有圣龙气运，苍玄可以看出周元修')"
"('6', '各位吧友早')"
"('153', '跟我预测的一样，源气底蕴40，我挺好奇下章怎么开头，这五天所')"
"('32', '对于万兽天的实力，我有如下猜想:历来古源天混元天和乾坤天都不')"
"('137', '又到了我的氵贴时间难得土豆没有氵，写得挺长的，应该是两，哦不')"
"('21', '白小鹿喜欢肉体间的碰撞？')"
"('3', '打服白鹿这段居然没水成3章，这一定是假的土豆')"
"('197', '我以前就说过白小鹿源气应该在40亿左右，果然不出我所料，周元')"
"('40', '周元是这样打白小鹿的么')"
"('1', '氵豆怎么回事？不氵了？直接进主线剧情？这不是做风啊？难道是老')"
"('13', '夭夭：你尽兴了？等老娘出来！')"
"('15', '唐家三少会不会气死')"
"('2', '有几点疑问：1.太乙青木痕是圣源术吗？')"
"('13', '兄弟们，来了啊，到底是什么眼光，答得好的有奖')"
"('216', '预测元尊接下来的大概剧情，接下来白小鹿和周元赌斗一场 被周元')"
"('39', '古源天结束后，周元回苍玄天剿灭圣宫吧')"
"('95', '我同时在看元尊和万古神帝。我个人认为，单纯论书中内容以及场景')"
"('11', '今天字数很足啊每次都以为完了的时候再往下一拉发现还有看爽了')"
"('46', '五行天的第一也太弱了吧，36e，就算玄迹被乾坤天拿走了一部分')"
"('19', '话不多说，最新章同人版开更')"
"('17', '震惊！诸天统领当众殴打女童！女童绝望挣扎！（本视频约1M）')"
"('311', '我说些什么，才能和他们打成一片？')"
"('74', '更新了，这个乾坤天的白小鹿果然有40亿，而且肉身比周元还强，')"
"('12', '九脉争夺的剧情差不多已经出来了，无非是周元和圣祖天第一打，险')"
"('9', '关于白小鹿，我有个疑问')"
"('6', '找一个值得依靠的人好好谈一场恋爱我负责牵线你负责恋爱看资料➕')"
"('159', '源婴以下的萌新禁止掺和')"
"('5', '证据确凿，土豆在开车，有兴趣可以来看看，顶我上去')"
"('237', '昨天那章没有看，竟不知道乾坤天的领头人居然是一个小萝莉，准确')"
"('4', '土豆：好端端的胸前硬是被你们说成胸上')"
"('163', '楼主发车：本章周元不仅以战斗的方式吃豆腐，更是采用了老祖宗都')"
"('260', '白小鹿底蕴40亿，周元以拳碰锤无垢圣琉璃之躯（就是肉呗，抗揍')"
"('477', '萧炎被炸弹炸死，三兄弟死得冤吗？')"
"('3', '打在胸前衣服怎么没烂是男的话早就衣服破碎了吧')"
"('402', '萌新发问：如何评价挂挂这一波毫不知羞耻的打脸行为？')"
"('341', '笑死啦哈哈哈')"
"('49', '斯巴拉西，今天，又是希望两更的一天')"
"('1', '老婆的爱称：夫人，宝贝，乖乖，亲爱的，妞妞，还有什么呢？')"
"('3', '求教')"
"('2', '如何看待2月27日司法部--外国人永久居留管理条例(征求意见稿）')"
"('74', '预测之后元尊大致总纲  祖气争夺完之后 拿到祖龙血肉 夭夭暂')"
"('1', '新的一章来啦，石头人痛揍波比')"
元尊贴吧标题
"('89', '周元:你乾坤天反对？打了第四又怎样，要知道，就算那弥山，现在')"
"('67', '周元面对乾坤天的反对，则是微微一笑，冲着那乾坤天总指挥说：“')"
"('133', '同人文 混元天之变(接之前九域大会的帖子)')"
"('12', '发现日语歌蛮好听的，比棒子歌强好多')"
"('5', '✨元尊✨漫画最新话，包更至完结哦在线秒回资源不免费也不桂想要')"
"('173', '求大佬们帮我取个姓萧的好听的名字')"
"('50', '话说这个白小鹿应该跟斗破紫妍是差不多的角色了吧，都是凶残的萝')"
"('24', '元夭校园文——《仲夏》新人写文求鼓励，写文出于兴趣和对元夭的')"
"('27', '临时水一贴，一会儿我要抢签到，猜猜我可以抢第几名？')"
"('366', '本来今天下午是一个令人激动的下午，最后一节课，没有作业，什么')"
"('148297', '【公告】练级塔')"
"('5', '这句话似曾相识，“贺周元圣子首？”')"
"('80', '写篇元苏的吧，夭夭正宫已定，武瑶我也写过两篇了，不写篇苏幼微')"
"('36', '爽啊，水贴')"
"('688', '一个女生为什么有这么多的毛毛')"
"('193', '本章总结：周元装，琉璃难敌，众人旁观，唯有震惊')"
"('66', '直到这一刻我才看透了真相太感动了武王真是用心良苦')"
"('1', '白小鹿属实有点弱周元这纯肉身加一点神魂就给打扒了，周元的神魂')"
"('262', '我也来氵一氵第一千一百四十三章不能再藏啦！（致敬氵豆是否似曾')"
"('0', '我真的只是水个经验')"
"('105', '周元踏及法域当日，将组龙灯和祖龙血肉收入乾坤囊 “夭夭，我终')"
"('178', '白小鹿底蕴四十亿，无垢圣琉璃之躯，小元子袭其神魂，一拳直捣胸')"
"('104', '都让开，老夫也要摸摸小鹿的头，谁不同意，老夫我反手就是一个镇')"
"('18', '我错了，TM乾坤天千年第一居然在底蕴上才勉强算是个圣天骄，怪')"
"('21', '《元尊》 第N章(山寨)       “呼，终于解决这些琐事')"
"('24', '听说我是元尊吧的希望')"
"('92', '吧友别再殴打我了，我错了(ﾟ ´Д｀ﾟ)っﾟ打哭了')"
"('15', '你品、你细品。周元：都没怎么练，👴就起飞了。')"
"('6', '简述本章 : 一开始， 白小鹿想用小锤锤锤周元胸口，被周元挡')"
"('67', '兄弟们，还有800点经验，快来帮我')"
"('37', '感觉是个傻白甜，没准明天来一句，周元哥哥，抱抱大腿好吗')"
"('2', '平常都是六页七页八页 今天写了十二页🤔 我有种不好的预感 明')"
"('25', '土豆这是人设用光的节奏吗？套用历史人物，先来个万祖域“关二爷')"
"('143', '没什么水了，就来说说苏幼微吧，苏幼微是我在元尊中最喜欢的人物')"
"('87', '桀桀桀，本座即将晋升天阳，蝼蚁们可敢与我一战~')"
"('70', '今天也不知道说啥，说实话土豆那番打架描写着实令人大跌眼镜，压')"
"('112', '今日份竞猜:白队长源气多少亿？我猜38亿，因为她说她只知道关')"
"('57', 'woc，袭胸？？？')"
"('0', '写作业晚上见')"
"('107', '艾青看不上姜金鳞了！！这女的好可怕，开始对周元含情脉脉了！！')"
"('6510', '山寨文      第N++章   寻找祖龙血肉，复活夭夭之路')"
"('39', '细数周元的风流债，正宫夭夭，然后是苏幼微，武瑶，卫青青，顾红')"
"('181', '乾坤天第一是女的，那圣祖天的圣天骄还会不会是女的？')"
"('46', 'zy炼铜实锤还有那些骗吃骗喝的兄弟们以后还是不要乱说啦土豆看')"
"('23', '今天豆嫂不在家吧')"
"('68', '我以为土豆只有在写斗破的时候才这样过，原来写武动的时候也这么')"
"('54', '冰灵族番外11：完结篇')"
"('31', '很好，七爪天阳八品顶尖源气，领先三亿源气底蕴，施展大炎魔，肉')"
"('144', '幼微:这后宫人数越来越多了')"
"('19', '元尊前传（与大结局1关联，先不要喷）第一章')"
