回复数,元尊贴吧标题
533,第一千一百五十九章 无垢圣琉璃之躯
651,第一千一百五十八章 白小鹿
601,第一千一百五十七章 不接受
390,面对周元欺负小萝莉  众人的反应:  苏幼微:为什么殿下没有
181,没穿丝袜，肯定难闻
44,土豆真就瞎写呗？这货40亿？吃屎的呢都出来吧
3,这哥们竟然睡着了？
45,《氵客谈元尊》第18话
64,我再也不敢乱删帖了 一次吞20经验
10,关于白小鹿，我有个疑问
435,如果周元，唐三，牧尘，萧炎，唐舞麟，霍雨浩，打架谁会赢
106,我先去笑一会
161,源婴以下的萌新禁止掺和
31,服了，土豆本来说，天源界圣族独占四天足可见其强大，我寻思着下
36,战斗力崩坏了，这是很多小说的毛病，元尊图一乐，终极斗罗真的已
12,圣莲逆转术算不算元尊里的最强招数？为何只是小圣术？简直不讲理
108,艾青看不上姜金鳞了！！这女的好可怕，开始对周元含情脉脉了！！
7,预测今晚整合乾坤天和五行天，必水。明天圣族四天到来也得水
290,我女朋友身子骨够软吧！这瑜伽练的扛扛的
10,我猜今天的一章是：九脉现世诸位信不？
58,明天要开讽了吗，有一星期没讽了，都快不习惯了
0,有点意思炼起铜来了呀
32,预测周元出关源气底蕴。
164,楼主发车：本章周元不仅以战斗的方式吃豆腐，更是采用了老祖宗都
317,怎样评价这个人？
73,除了元尊，大家还看什么小说啊  书谎
45,接下来是没什么奖竞猜结果，白鹭是40亿，那些说39的该干啥干
21,感觉上同样底蕴的情况下圣族打其他种族的人基本上都能赢啊
238,这唐门英雄传竟恐怖如斯，一个唐三就杀了遮天三人组，土豆三人组
53,为什么他们会用这种眼神看周元
77,第一千九百零八章 夭夭的苏醒
1,专家说了什么。
337,我觉得我完全可以
5,我很好奇最后9根大柱子的分配问题
1,“嘿嘿！居然让一个刚突破天阳后期的小子，当总指挥，看来你们混
719,有谁的动图比座的很强
4,白小鹿＝嫦娥无垢圣琉璃之躯＝蓝神魂＝真伤∑(￣□￣;)
27,没什么可说的，就来谈谈武瑶结局吧
4,惊爆，混元天新任总队长竟当众调戏乾坤天童颜美女，这到底是人性
143,老丈人真好一个月赶紧过去吧。
7,等等，白小鹿就这么被周挂打趴下了？土豆给周挂的修炼之路一路绿
18,天地混沌，神王唐三被时空乱流卷到了天源界混元天，天渊域，只见
1,猜猜，离开苍玄宗的时候，冰火煅龙台开四级
1,150万的神府境中期。恐怖如斯
17,土豆这跟当年斗破里的有什么区别在迦南学院里当初萧炎当着内院一
1,周元太不懂得怜香惜玉了。我从小被女生欺负，一直忍让，到现在依
5,元尊真正的主角
19,这下九大天域集齐了吧，该来个完整的9大天域的排名
4,有一说一，苏幼微的设定不是源气极高，怎么后来三个人都是一个水
123,土豆以前写周元在混元天的打斗都喜欢写一句:“短短数息间，两人
