城市地址,商铺网址,商铺名称,商品编号,商铺星级,所在区域名称,分类名称,口味评分,环境评分,服务评分,人均消费
上海,http://www.dianping.com/shop/131757362,陶陶居酒家,131757362,35,淮海路,粤菜馆,7.7,8.0,7.8,167
上海,http://www.dianping.com/shop/1068951510,贤合庄卤味火锅,1068951510,35,黄浦区,四川火锅,8.0,8.1,7.9,146
上海,http://www.dianping.com/shop/126049371,电台巷火锅·传承,126049371,45,人民广场,重庆火锅,8.6,8.1,8.5,146
上海,http://www.dianping.com/shop/132198609,敏华冰厅,132198609,40,人民广场,茶餐厅,8.4,8.3,8.2,67
上海,http://www.dianping.com/shop/97741437,老木子鸡,97741437,40,凉城/江湾镇,熟食熏酱,8.5,7.8,8.1,31
上海,http://www.dianping.com/shop/113989989,Shake Shack,113989989,40,淮海路,西式快餐,8.2,8.0,8.3,96
上海,http://www.dianping.com/shop/1702814218,麥吉machi machi,1702814218,40,外滩,茶饮果汁,8.3,8.1,8.1,35
上海,http://www.dianping.com/shop/130354969,珮姐老火锅,130354969,40,南京西路,重庆火锅,8.2,8.2,8.3,163
上海,http://www.dianping.com/shop/1900485540,LAVAZZA咖啡,1900485540,40,静安寺,咖啡厅,8.2,8.5,8.5,53
上海,http://www.dianping.com/shop/1724909269,普通食堂 by BELLOCO倍乐,1724909269,50,人民广场,韩国料理,9.1,9.1,9.2,167
上海,http://www.dianping.com/shop/1140572677,EGG BOMB,1140572677,40,淮海路,西餐,8.2,8.0,8.2,49
上海,http://www.dianping.com/shop/96448049,恬圆子,96448049,45,徐家汇,面包烘焙,9.0,8.5,8.6,79
上海,http://www.dianping.com/shop/1312893178,合興發茶冰室,1312893178,40,人民广场,茶餐厅,8.3,7.9,8.3,93
上海,http://www.dianping.com/shop/521878409,半步颠小酒馆,521878409,50,长寿路,江湖菜,9.1,8.8,8.9,114
上海,http://www.dianping.com/shop/107726284,ORO意大利提拉米苏,107726284,40,淮海路,甜品,8.2,8.2,8.4,59
上海,http://www.dianping.com/shop/125892574,YK烧肉居酒屋,125892574,50,打浦桥,日本料理,9.1,9.1,9.0,178
上海,http://www.dianping.com/shop/130347081,白玉兰食品,130347081,45,北外滩,面包烘焙,8.6,8.2,8.3,49
上海,http://www.dianping.com/shop/124136437,点都德,124136437,45,中山公园,粤式茶点,8.9,8.7,8.5,113
上海,http://www.dianping.com/shop/131433156,出山烧烤,131433156,50,新天地,烤串,9.1,9.1,9.2,127
