开奖日期,期号,中奖号码,销售额(元),中奖注数一等奖,中奖注数二等奖,详细
2020-01-19,2020008,01  04  06  10  11  28  16,395048088,17  (冀 晋 辽 苏..),262,
2020-01-16,2020007,05  12  17  20  25  31  10,358035962,38  (津 冀 吉 沪..),269,
2020-01-14,2020006,03  04  05  10  16  32  09,361697316,20  (浙 豫 粤 桂..),363,
2020-01-12,2020005,11  16  17  22  26  32  04,400642476,8  (冀 皖 赣 鄂..),224,
2020-01-09,2020004,02  15  17  27  32  33  03,370826158,7  (晋 浙 鲁 粤..),189,
2020-01-07,2020003,09  17  26  29  30  32  03,368960938,16  (苏 浙 鄂 湘..),134,
2020-01-05,2020002,04  09  14  15  16  29  11,410784878,16  (京 津 冀 晋..),194,
2020-01-02,2020001,02  15  23  26  29  30  02,388311860,4  (豫 鄂 川),113,
2019-12-31,2019151,02  06  09  18  24  26  14,405999712,8  (辽 吉 闽 湘..),121,
2019-12-29,2019150,02  09  14  22  27  29  02,424037140,9  (皖 鲁 粤 深圳..),158,
2019-12-26,2019149,01  06  27  28  31  33  07,401837358,16  (京 苏 浙 闽..),120,
2019-12-24,2019148,09  10  13  20  26  27  08,412835082,42  (冀 晋 吉 黑..),179,
2019-12-22,2019147,01  09  12  14  23  27  12,428843148,10  (冀 蒙 深圳 陕..),120,
2019-12-19,2019146,01  04  10  12  30  32  14,400822952,4  (冀 浙 陕),82,
2019-12-17,2019145,01  08  13  17  18  19  16,404721396,15  (京 辽 黑 沪..),145,
2019-12-15,2019144,02  12  15  19  27  30  03,448943976,13  (津 辽 苏 浙..),276,
2019-12-12,2019143,05  13  15  16  26  32  09,421054466,11  (蒙 沪 赣 豫..),471,
2019-12-10,2019142,08  14  24  27  29  33  09,429455474,14  (冀 苏 浙 闽..),72,
2019-12-03,2019139,08  14  20  23  30  33  11,420684332,4  (辽 浙 皖 渝),87,
2019-12-01,2019138,02  06  12  30  31  32  11,455574142,15  (京 冀 晋 蒙..),221,
2019-11-28,2019137,07  10  13  19  23  31  06,414318454,27  (京 津 蒙 辽..),230,
2019-11-26,2019136,12  14  15  17  29  33  12,411048748,7  (闽 鲁 湘 粤..),50,
2019-11-24,2019135,03  06  10  11  27  33  03,448749008,4  (苏 闽 豫),145,
2019-11-21,2019134,01  04  06  22  29  30  03,424644500,7  (津 辽 黑 闽..),99,
2019-11-19,2019133,03  07  16  21  24  31  07,412973230,10  (辽 沪 苏 鲁..),163,
2019-11-17,2019132,04  06  11  14  19  33  07,443878462,7  (京 浙 赣 粤..),141,
2019-11-14,2019131,09  17  19  20  24  31  04,413548024,12  (浙 闽 赣 豫..),195,
2019-11-12,2019130,01  07  09  11  24  32  16,418172282,15  (冀 蒙 赣 豫..),151,
2019-11-10,2019129,03  04  07  09  15  26  07,442669038,20  (京 冀 辽 沪..),360,
2019-11-07,2019128,03  08  12  16  17  19  08,342336168,9  (京 蒙 闽 赣..),118,
