names,direction,money,experience,condition,company,welfare
电子工程师,珠海·香洲区,7k-10k,经验3-5年 / 大专,硬件 / 上市公司 / 500-2000人,太川股份,五险一金、包食/宿、带薪年假、补充医疗
电子工程师,北京·海淀区,12k-18k,经验3-5年 / 本科,"企业服务,硬件 / B轮 / 150-500人",梅卡曼德,大牛团队，风口行业，上升空间大
电子工程师,惠州·惠城区,5k-10k,经验1-3年 / 大专,"医疗丨健康,数据服务 / 未融资 / 50-150人",源憬健康,公司是在研发阶段，是一个充满挑战的机会
硬件电路设计师,成都·高新区,8k-12k,经验不限 / 本科,"企业服务,物联网 / 不需要融资 / 500-2000人",中国兵器装备集团自动化研究所,国企背景，待遇丰厚
电子工程师,深圳·龙华新区,6k-10k,经验1-3年 / 本科,"电商,数据服务 / 上市公司 / 2000人以上",富士康科技集团,年终奖+绩效奖
电子工程师,广州·萝岗区,12k-15k,经验3-5年 / 本科,"移动互联网,硬件 / 上市公司 / 150-500人",亿航智能无人机Ehang,双休、五险一金、免费工作餐、班车接送
电子工程师,成都·龙泉驿区,7k-10k,经验3-5年 / 大专,"移动互联网,硬件 / 未融资 / 50-150人",广聚其力,"五险一金,带薪休假,额外餐补、话补"
电子工程师,北京·海淀区,15k-20k,经验1-3年 / 本科,其他 / 未融资 / 50-150人,航天泰睿,股权激励，团队厉害，五险一金，弹性工作
电子工程师,深圳·南山区,7k-9k,经验3-5年 / 不限,硬件 / A轮 / 15-50人,CIGA Design,五险一金 工作餐 下午茶 年终奖
电子工程师,北京·昌平区,10k-11k,经验应届毕业生 / 本科,"电商,其他 / 未融资 / 少于15人",宜汇电子,新公司 创业期，
电子工程师,成都·武侯区,10k-20k,经验3-5年 / 不限,游戏 / 不需要融资 / 500-2000人,成都数字天空科技有限公司,前沿技术研究
电路设计师(000866),深圳·南山区,11k-17k,经验3-5年 / 不限,"电商,物联网 / 不需要融资 / 2000人以上",深圳康佳电子科技有限公司,"福利待遇好,试用期全薪,知识分享"
电子工程师,深圳·宝安区,7k-9k,经验3-5年 / 大专,"其他,人工智能 / 不需要融资 / 50-150人",福迈,五险一金 员工旅游 专业培训 提供住宿
电子工程师,深圳·南山区,9k-14k,经验3-5年 / 大专,"硬件,其他 / 未融资 / 少于15人",喵小小,五险一金、.不定时下午茶及团建活动
电路设计研究员（高级）(J22238),北京·亦庄,10k-20k,经验5-10年 / 本科,物联网 / 上市公司 / 2000人以上,京东方,餐补 通讯补助 班车 宿舍
自动化测试,北京·东直门,15k-25k,经验3-5年 / 本科,社交 / B轮 / 150-500人,玩吧,"七险一金,弹性不打卡,免费午餐,季度旅游"
资深自动化测试工程师,北京·西北旺,30k-50k,经验5-10年 / 本科,金融 / B轮 / 500-2000人,OK Group,大牛团队 发展前景 薪资客观
自动化测试工程师,深圳·南山医院,20k-30k,经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,招银网络科技,不断创新的业务模式，持续升级的技术改造
自动化测试工程师,深圳·南山区,15k-25k,经验3-5年 / 本科,金融 / 不需要融资 / 500-2000人,招联金融,"福利待遇好,奖金丰厚,发展空间大"
测试工程师(自动化/性能),深圳·科技园,15k-20k,经验3-5年 / 本科,"移动互联网,金融 / D轮及以上 / 500-2000人",AKULAKU,发展前景好、扁平管理、带薪年假
自动化,青岛·城阳区,3k-5k,经验不限 / 不限,其他 / 未融资 / 2000人以上,三利集团,公司免费医疗、住宿和就餐，办公环境好。
自动化测试工程师,北京·西北旺,15k-30k,经验3-5年 / 本科,"移动互联网,金融 / 不需要融资 / 500-2000人",微聚未来,"牛人团队,带薪年假,16薪考核,快速成长"
高级测试工程师（自动化）,南京·安德门,10k-20k,经验3-5年 / 本科,"电商,移动互联网 / C轮 / 2000人以上",SHEIN,弹性工作、跨境电商、互联网氛围、大牛云集
自动化测试工程师,上海·张江,7k-14k,经验1-3年 / 本科,金融 / B轮 / 150-500人,讯联数据,奖金，旅游，十四薪，员工期权
SW-自动化工程规划工程师,深圳·南山区,10k-20k,经验3-5年 / 本科,"软件开发,数据服务 / 不需要融资 / 2000人以上",顺丰科技有限公司,发展前景，福利待遇，周末双休
IT 高级自动化测试工程师(J22515),天津·邵公庄,15k-23k,经验5-10年 / 本科,金融 / 不需要融资 / 2000人以上,捷信消费金融有限公司,自动化测试 测试开发
高级软件测试工程师（自动化方向）,天津·河北大街,15k-23k,经验不限 / 不限,金融 / 不需要融资 / 2000人以上,捷信消费金融有限公司,福利待遇、发展前景
Android开发工程师（自动化方向）,杭州·西湖区,15k-30k,经验3-5年 / 本科,"移动互联网,硬件 / C轮 / 500-2000人",涂鸦智能,"团队牛,独角兽"
自动化测试工程师（研发共享服务部）,深圳·科技园,10k-20k,经验5-10年 / 本科,企业服务 / 上市公司 / 2000人以上,金蝶,大平台发展机遇广福利待遇好团队氛围好
WEB安全工程师（安全自动化方向）,北京·酒仙桥,15k-30k,经验1-3年 / 不限,信息安全 / 上市公司 / 2000人以上,360,"上市公司,薪酬高,福利好,氛围好"
单片机,广州·萝岗区,8k-10k,经验1-3年 / 大专,"移动互联网,企业服务 / 不需要融资 / 15-50人",畅联科技,带薪年假，绩效奖金，社保，员工旅游
单片机开发工程师（自动化生产类）,杭州·西湖区,10k-15k,经验3-5年 / 本科,"移动互联网,硬件 / C轮 / 500-2000人",涂鸦智能,五险一金、平台大
单片机开发工程师,深圳·科技园,15k-30k,经验3-5年 / 本科,"硬件,其他 / A轮 / 150-500人",普渡科技,"AI机器人,公司大牛多,弹性工作"
单片机开发工程师,珠海·香洲区,10k-15k,经验1-3年 / 大专,硬件 / 上市公司 / 500-2000人,太川股份,五险一金、包食/宿、带薪年假、补充医疗
单片机软件工程师,深圳·西丽,8k-15k,经验不限 / 本科,"硬件,医疗丨健康 / A轮 / 15-50人",Xeno Dynamics,"扁平管理,大牛云集"
嵌入式单片机工程师,济南·高新区,6k-10k,经验1-3年 / 大专,"通讯电子,物联网 / A轮 / 150-500人",精讯畅通,技术领先 物联网行业 研发项目多
嵌入式软件工程师（单片机方向）,深圳·南山区,14k-28k,经验1-3年 / 本科,"硬件,人工智能 / 天使轮 / 15-50人",迪巨智能,公司重点项目
