,province,city,确认,疑似,死亡,治愈
0,湖北,武汉,49122,0,2195,19227
1,湖北,孝感,3518,0,118,2215
2,湖北,黄冈,2905,0,115,2171
3,湖北,荆州,1579,0,46,1034
4,湖北,鄂州,1391,0,47,784
5,湖北,随州,1307,0,40,835
6,湖北,襄阳,1175,0,34,850
7,湖北,黄石,1014,0,34,697
8,湖北,宜昌,931,0,31,506
9,湖北,荆门,925,0,37,604
10,湖北,咸宁,836,0,12,692
11,湖北,十堰,672,0,7,441
12,湖北,仙桃,575,0,19,438
13,湖北,天门,496,0,13,371
14,湖北,恩施州,252,0,4,192
15,湖北,潜江,198,0,9,119
16,湖北,神农架,11,0,0,11
17,湖北,监狱系统,0,0,0,0
18,广东,深圳,417,0,3,308
19,广东,广州,346,0,1,260
20,广东,东莞,99,0,1,63
21,广东,珠海,98,0,1,75
22,广东,佛山,84,0,0,47
23,广东,中山,66,0,0,59
24,广东,惠州,62,0,0,58
25,广东,汕头,25,0,0,22
26,广东,江门,23,0,0,14
27,广东,湛江,22,0,0,17
28,广东,肇庆,19,0,1,13
29,广东,梅州,16,0,0,12
30,广东,阳江,14,0,0,11
31,广东,茂名,14,0,0,9
32,广东,清远,12,0,0,12
33,广东,韶关,10,0,0,9
34,广东,揭阳,8,0,0,6
35,广东,汕尾,5,0,0,5
36,广东,潮州,5,0,0,5
37,广东,河源,4,0,0,4
38,广东,地区待确认,0,0,0,0
39,河南,信阳,274,0,3,28
40,河南,郑州,157,0,1,36
41,河南,南阳,156,0,3,28
42,河南,驻马店,139,0,0,25
43,河南,商丘,91,0,3,9
44,河南,周口,76,0,1,16
45,河南,平顶山,58,0,1,13
46,河南,新乡,57,0,3,6
47,河南,安阳,53,0,0,10
48,河南,许昌,39,0,0,2
49,河南,漯河,35,0,0,6
50,河南,焦作,32,0,1,1
51,河南,洛阳,31,0,1,2
52,河南,开封,26,0,0,1
53,河南,鹤壁,19,0,0,3
54,河南,濮阳,17,0,0,1
55,河南,三门峡,7,0,1,3
56,河南,济源示范区,5,0,0,0
57,河南,地区待确认,0,0,4,995
58,浙江,温州,504,0,1,432
59,浙江,杭州,169,0,0,164
60,浙江,宁波,157,0,0,148
61,浙江,台州,146,0,0,107
62,浙江,金华,55,0,0,51
63,浙江,嘉兴,45,0,0,38
64,浙江,绍兴,42,0,0,36
65,浙江,省十里丰监狱,36,0,0,5
66,浙江,丽水,17,0,0,17
67,浙江,衢州,14,0,0,12
68,浙江,湖州,10,0,0,9
69,浙江,舟山,10,0,0,8
70,湖南,长沙,242,0,2,178
71,湖南,岳阳,156,0,1,115
72,湖南,邵阳,102,0,1,95
73,湖南,常德,82,0,0,72
74,湖南,株洲,80,0,0,62
75,湖南,娄底,76,0,0,62
76,湖南,益阳,60,0,0,59
77,湖南,衡阳,48,0,0,46
