图像测试工程师,杭州码泰科技有限公司,0.7-1.2万/月
测试工程师,上海韦晴软件科技有限公司,1-1.5万/月
测试工程师,上海游驰网络技术有限公司,1.8-2.5万/月
游戏测试工程师,网易集团,1.5-2万/月
高级测试工程师,有荣国际电子商务（北京）有限公司,1.2-1.6万/月
缦图总部-高级测试工程师,杭州缦图摄影有限公司,1-1.5万/月
测试工程师（智慧旅游+规模600+）,浙江深大智能科技有限公司,0.8-1.2万/月
测试工程师,杭州装点文化创意有限公司,1.5-3万/月
软件测试工程师（集团公司位于余杭留下五常）,杭州赛群网络科技有限公司,0.8-1万/月
软件测试工程师,杭州悠可化妆品有限公司,1.5-2万/月
物联网软件测试工程师,金卡智能集团股份有限公司,0.6-1.2万/月
软件测试工程师,浙江慧脑信息科技有限公司,0.5-1万/月
测试工程师 ― IES杭州,字节跳动,1.5-3万/月
测试工程师+周末双休,杭州八斗信息科技有限公司,6-8千/月
软件测试工程师,苏州智康信息科技股份有限公司杭州分公司,0.8-1.2万/月
中级测试工程师,浙江省公众信息产业有限公司无线运营分公司,0.7-1万/月
系统测试工程师,浙江彩�|高科技有限公司,1-2万/月
软件测试工程师,浙江汇信科技有限公司,6-8千/月
本地生活-测试工程师（搜索推荐）-杭州,阿里巴巴集团,
系统测试工程师,吉利科技集团,1-1.5万/月
软件测试工程师,杭州同帆科技有限公司,1-1.5万/月
测试工程师（硬件）,浙江国天物联技术有限责任公司,0.8-1万/月
硬件测试工程师,浙江新能量科技股份有限公司,5-7千/月
软件测试工程师,嘉兴构美信息技术有限公司,0.8-1.2万/月
软件测试工程师,杭州移领网络科技有限公司,5-8千/月
测试工程师（物联网方向）,绿漫科技有限公司,1.2-2万/月
软件测试工程师,中通供应链管理有限公司,6-8.5千/月
自动化测试工程师,杭州华元宠物用品有限公司,0.8-1.2万/月
测试工程师,杭州思伟科技股份有限公司,1-1.5万/月
软件测试工程师（公共安全）,杭州当虹科技股份有限公司,0.8-1.5万/月
自动化测试工程师,杭州悦玩网络科技有限公司,1.5-2.5万/月
高级测试工程师,浙江诺诺网络科技有限公司,1.5-2.5万/月
网易考拉测试工程师,杭州拓天科技有限公司,1-1.5万/月
硬件测试工程师,杭州由莱科技有限公司,1-1.5万/月
测试工程师,贵州中软云上数据技术服务有限公司,8-14万/年
软件测试工程师,杭州湖畔网络技术有限公司,0.8-1.5万/月
软件测试工程师（可接实习生）,杭州物点网络科技有限公司,3-5.5千/月
软件测试工程师,申朴信息技术（上海）股份有限公司,1-1.5万/月
高级/资深测试工程师,杭州天谷信息科技有限公司,1.8-2.5万/月
软件测试工程师,上海千熠信息科技有限公司,1.2-1.8万/月
软件测试工程师,深圳市天行云供应链有限公司,1.2-1.5万/月
自动化测试工程师,杭州涂鸦信息技术有限公司,1-1.5万/月
测试工程师-中冶,国客区块链科技（杭州）有限公司,0.8-1.5万/月
软件测试工程师,杭州丈浔科技有限公司,1-1.5万/月
高级测试工程师,上海柚凡信息科技有限公司,1-1.5万/月
游戏测试工程师,杭州腾展科技股份有限公司,0.7-1.5万/月
软件测试工程师,杭州星客互联科技有限公司,1-1.5万/月
测试工程师（2020届校招）,杭州施强教育科技有限公司,0.6-1万/月
测试工程师,杭州健海科技有限公司,0.8-1.2万/月
高级测试工程师,杭州�v全科技发展有限公司,1-2.5万/月
web软件测试工程师,浙江东驰科技有限公司,1-1.4万/月
测试工程师,杭州网银互联科技股份有限公司,1-1.5万/月
测试工程师G00035,杭州斯凯网络科技有限公司,0.8-1万/月
软件测试工程师,浙江投融界科技有限公司,0.8-1.2万/月
自动化测试工程师,北京联龙博通电子商务技术有限公司,0.9-1.6万/月
软件测试工程师,浙江万企动力科技有限公司,0.8-1万/月
测试工程师,浙江小兰智慧科技有限公司,0.5-1万/月
资深测试工程师,特维轮智车慧达科技（杭州）有限公司,1.5-2.2万/月
初级测试工程师,杭州联汇科技股份有限公司,6-8千/月
软件测试工程师,杭州珍林网络技术有限公司,0.8-1.3万/月
软件测试工程师,上海易锂蜂科技有限公司,0.8-1万/月
项目测试工程师,浙江云融创新科技有限公司,1-1.8万/月
软件测试工程师,社宝信息科技（上海）有限公司,1.5-2万/月
高级测试工程师,杭州云端聘网络信息技术服务有限公司,1-2万/月
APP测试工程师,杭州凯伯顿科技有限公司,6-8千/月
软件测试工程师,深圳易刷通网络科技有限公司,2-4万/月
软件测试工程师,杭州大希地科技股份有限公司,1-1.5万/月
