评分,作品名称,豆瓣链接,封面图片
5.9,囧妈,https://movie.douban.com/subject/30306570/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581835383.jpg
7.5,半个喜剧,https://movie.douban.com/subject/30269016/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2576482356.jpg
7.1,37秒,https://movie.douban.com/subject/30327451/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546919581.jpg
6.3,葛蕾丝的坠落,https://movie.douban.com/subject/34937473/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2579629375.jpg
7.6,正义的慈悲,https://movie.douban.com/subject/26581206/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2577145347.jpg
8.5,1917,https://movie.douban.com/subject/30252495/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570243317.jpg
8.3,小妇人,https://movie.douban.com/subject/26348103/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580665456.jpg
8.3,阳光普照,https://movie.douban.com/subject/30292777/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570235120.jpg
8.7,小丑,https://movie.douban.com/subject/27119724/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg
8.6,82年生的金智英,https://movie.douban.com/subject/30327842/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578045524.jpg
8.9,爱尔兰人,https://movie.douban.com/subject/6981153/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568902055.jpg
6.4,只有芸知道,https://movie.douban.com/subject/33436135/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574861328.jpg
8.6,婚姻故事,https://movie.douban.com/subject/27202818/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580991955.jpg
7.0,被光抓走的人,https://movie.douban.com/subject/30394535/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575887979.jpg
6.0,宠爱,https://movie.douban.com/subject/33417046/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577327922.jpg
8.7,寄生虫,https://movie.douban.com/subject/27010768/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
8.5,极速车王,https://movie.douban.com/subject/6538866/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568792942.jpg
8.4,乔乔的异想世界,https://movie.douban.com/subject/30170546/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580758054.jpg
8.2,利刃出鞘,https://movie.douban.com/subject/30318116/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg
6.0,两只老虎,https://movie.douban.com/subject/30196805/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574713609.jpg
8.3,少年的你,https://movie.douban.com/subject/30166972/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg
6.4,疯狂的外星人,https://movie.douban.com/subject/25986662/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg
7.3,好莱坞往事,https://movie.douban.com/subject/27087724/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551119672.jpg
8.6,燃烧女子的肖像,https://movie.douban.com/subject/30257175/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572504391.jpg
7.9,平原上的夏洛克,https://movie.douban.com/subject/33400376/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574198225.jpg
6.7,中国机长,https://movie.douban.com/subject/30295905/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568258113.jpg
7.9,流浪地球,https://movie.douban.com/subject/26266893/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg
8.2,理查德·朱维尔的哀歌,https://movie.douban.com/subject/25842038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578705064.jpg
7.8,我和我的祖国,https://movie.douban.com/subject/32659890/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg
8.0,地久天长,https://movie.douban.com/subject/26715636/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550208359.jpg
8.3,黑水,https://movie.douban.com/subject/30331959/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2569450232.jpg
8.5,哪吒之魔童降世,https://movie.douban.com/subject/26794435/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg
6.9,双子杀手,https://movie.douban.com/subject/3097572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570906505.jpg
7.2,冰雪奇缘2,https://movie.douban.com/subject/25887288/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572847101.jpg
7.5,纽约的一个雨天,https://movie.douban.com/subject/27089612/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2556824333.jpg
6.1,沉睡魔咒2,https://movie.douban.com/subject/26426056/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570105165.jpg
8.8,多哥,https://movie.douban.com/subject/30271841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575882765.jpg
6.4,白头山,https://movie.douban.com/subject/30200087/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575684177.jpg
6.6,受益人,https://movie.douban.com/subject/30299311/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572429001.jpg
6.9,飞驰人生,https://movie.douban.com/subject/30163509/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg
6.1,攀登者,https://movie.douban.com/subject/30413052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568577681.jpg
